Country Name,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Dominican Republic,..,..,..,..,..,..,0.773949981,0.893369973,1.033300042,1.22724998,..,..,..,1.888290048,1.967829943,1.914010048,1.84465003,..,..,..,2.046789885,..,..,..,..,..,..,..,..
Early-demographic dividend,..,..,..,..,..,..,..,..,..,..,..,..,4.110370159,3.983109951,4.088779926,3.407730103,3.574229956,3.419530034,..,4.001780033,3.563529968,4.125389934,..,4.02741003,3.79618001,3.712470055,..,..,..
East Asia & Pacific,..,..,..,..,..,..,..,..,3.093619943,..,..,..,..,..,3.499780059,3.864919901,..,3.652760029,..,..,3.392745018,3.413825035,4.392129898,3.639499903,4.125804901,4.536709785,4.1240201,4.152719975,..
East Asia & Pacific (excluding high income),..,..,..,..,..,..,..,..,2.442089975,2.896309972,3.733065009,..,..,4.208930016,2.69233501,2.89222002,..,2.748470068,..,..,3.078419924,3.508500099,3.861939907,4.076770067,4.60902977,4.865959883,4.532395124,..,..
East Asia & Pacific (IDA & IBRD countries),..,..,..,..,..,..,..,..,2.442089975,2.896309972,3.733065009,..,..,4.208930016,2.69233501,2.89222002,..,2.748470068,..,..,3.078419924,3.508500099,3.861939907,4.076770067,4.60902977,4.865959883,4.532395124,4.001429915,..
Ecuador,..,..,..,..,..,..,..,..,1.997640014,..,..,2.195369959,1.547340035,1.150930047,..,..,..,..,..,..,..,..,4.342420101,4.507430077,4.726890087,4.643070221,5.004640102,5.260990143,4.998700142
"Egypt, Arab Rep.",..,4.525219917,4.600059986,..,..,4.050670147,4.197700024,4.583759785,4.604000092,4.671569824,..,..,..,..,..,..,4.945630074,4.6707201,4.794429779,4.001780033,3.68460989,3.760829926,..,..,..,..,..,..,..
El Salvador,..,..,..,..,..,..,..,..,..,..,..,2.547250032,2.562609911,2.838680029,..,3.242840052,3.134670019,..,3.177850008,3.492980003,3.60984993,4.458109856,4.659500122,4.048069954,3.898499966,3.712470055,3.801490068,3.824160099,3.909879923
Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,2.187979937,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Eritrea,..,..,..,..,..,..,..,..,..,1.638550043,..,4.620580196,5.26281023,..,4.047160149,3.523900032,..,3.148969889,..,2.127000093,..,..,..,..,..,..,..,..,..
Estonia,..,..,..,..,..,..,5.706910133,5.502669811,5.905409813,6.062329769,6.346139908,6.244349957,6.646560192,5.332429886,5.224609852,5.431310177,5.271170139,4.877349854,4.813159943,..,4.620639801,5.477379799,5.926519871,5.473380089,4.969920158,4.682690144,4.812670231,5.367080212,5.106850147
Eswatini,5.802199841,5.511559963,5.661290169,5.484570026,..,..,..,5.140289783,5.653140068,4.938159943,..,..,5.090950012,5.508480072,4.838240147,4.440869808,5.816770077,5.401609898,6.484620094,6.554759979,..,6.618120193,6.471350193,6.118370056,6.864329815,..,..,7.070320129,..
Ethiopia,..,..,..,..,..,..,2.3542099,..,..,2.774620056,2.757940054,..,..,3.983109951,3.700289965,3.632450104,..,..,..,5.490960121,5.451129913,5.408199787,4.422070026,4.496590137,5.485760212,5.56678009,4.498549938,4.602019787,4.737919807
Euro area,4.623439789,4.568745136,..,4.554499865,4.776949883,5.072380066,5.10943985,4.896480083,4.689115047,4.796005011,..,4.540569782,4.510849953,4.585120201,5.224609852,5.258719921,5.074510098,4.961864948,4.97356987,4.820549965,4.684490204,5.109519958,5.563149929,5.473380089,5.127089977,4.956580162,5.334609985,5.27489996,4.909530163
Europe & Central Asia,..,..,..,..,..,..,5.100749969,4.953065157,4.596094847,4.494450092,..,4.45031023,4.383719921,4.166140079,4.650090218,4.438934803,4.673229933,4.738790035,4.873839855,4.820549965,4.672060013,4.880650043,5.057749987,5.220039845,4.969860077,4.811810017,5.024950027,5.124000072,4.885540009
Europe & Central Asia (excluding high income),..,..,..,..,..,..,..,..,..,..,..,..,3.618079901,3.343394995,3.384239912,3.154459953,3.286149979,3.227519989,3.642030001,3.40350008,3.547955036,4.101749897,4.27628994,..,4.08673501,3.905565143,..,..,3.811524987
Europe & Central Asia (IDA & IBRD countries),..,..,..,..,..,..,..,..,..,3.512569904,..,..,3.75532496,3.343394995,3.384239912,3.343114972,3.61125505,3.380215049,3.642030001,3.866260052,3.965199947,4.162065029,4.322614908,4.242040157,4.150109768,3.905565143,4.319535017,4.818309784,3.811524987
European Union,..,..,..,..,4.972259998,5.145120144,5.10943985,4.900255203,4.689115047,4.748290062,..,4.540569782,4.583669901,4.868400097,5.077809811,5.179230213,5.074510098,4.961864948,5.073949814,4.864109993,4.684490204,5.029049873,5.554969788,5.312739849,4.969920158,4.880609989,4.961110115,5.124000072,4.897535086
Faroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,..,..,4.831099987,..,..,..,..,..,..,..,..,5.512619972,5.153510094,5.857250214,5.617139816,6.24382019,..,6.164929867,5.121970177,5.607140064,5.848430157,4.25357008,4.498479843,..,4.17305994,..,3.882889986,..,..
Finland,5.200819969,5.066959858,5.072609901,5.338900089,6.337480068,6.520500183,7.487160206,6.857069969,6.809909821,6.858980179,..,..,5.86992979,5.709300041,5.840250015,6.0167799,6.167439938,6.157579899,6.02507019,5.928380013,5.67125988,5.83010006,6.459559917,6.504449844,6.445049763,7.148039818,7.124040127,7.102369785,7.032080173
Fragile and conflict affected situations,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.744709969,..,..,3.259230018,..,..
France,4.623439789,4.544720173,4.456399918,4.513939857,4.841300011,4.735390186,5.429590225,5.626430035,5.79073,5.756720066,..,5.687920094,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,..,..,..,..,..,2.805520058,..,..,..,..,..,3.419660091,3.081229925,3.827090025,..,..,..,..,..,..,..,..,..,3.078089952,2.987459898,3.013400078,3.029710054,2.666670084,..
"Gambia, The",..,..,2.974090099,2.825839996,3.780610085,1.169839978,..,..,2.553560019,2.566279888,..,..,1.565129995,1.465870023,1.158100009,1.44291997,1.363379955,0.622470021,0.691879988,0.751630008,0.81686002,2.181299925,1.908139944,2.563220024,2.50116992,2.637569904,1.818390012,2.230940104,2.160029888
